,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
113,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,43,2,0,2,0.5,1.0
114,0,urbano,casado,homem,preto ou pardo,superior incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,sim,sim,sim,nao,45,2,0,2,0.333333333333333,1.0
115,0,urbano,solteiro,homem,branco,fundam incompleto,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,79,1,0,1,0.125,1.0
116,0,urbano,solteiro,homem,branco,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,sim,nao,71,1,0,1,0.142857142857143,1.0
117,1,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,sim,nao,61,3,0,3,0.5,1.0
118,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,sim,nao,51,3,0,3,0.428571428571429,1.0
119,0,urbano,casado,homem,preto ou pardo,superior incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,sim,sim,nao,nao,53,3,1,2,0.5,1.0
120,0,urbano,casado,mulher,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,sim,39,5,3,2,0.5,2.0
121,0,urbano,solteiro,homem,preto ou pardo,medio completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,nao,nao,sim,nao,sim,sim,nao,59,1,0,1,0.125,1.0
122,0,urbano,casado,homem,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,59,4,1,3,0.285714285714286,1.33333333333333
123,0,urbano,casado,homem,branco,superior completo,ativo ocupado,sim,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,76,3,0,3,0.25,1.0
124,0,urbano,casado,homem,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,sim,sim,sim,sim,sim,sim,nao,47,2,0,2,0.2,1.0
125,0,urbano,solteiro,mulher,branco,fundam completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,74,3,1,2,0.272727272727273,1.5
126,0,urbano,solteiro,homem,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,30,2,0,2,0.166666666666667,1.0
127,0,urbano,casado,mulher,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio nao pago,nao,sim,sim,nao,sim,sim,nao,36,2,0,2,0.25,1.0
128,0,urbano,casado,homem,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,37,4,2,2,0.5,1.0
129,0,urbano,solteiro,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,inadequada,adequado,sim,adequada,cedido,nao,nao,sim,sim,sim,sim,sim,61,4,0,4,0.8,1.0
130,0,urbano,casado,homem,branco,sem instrucao,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,79,3,0,3,0.5,0.333333333333333
131,1,urbano,casado,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,42,6,1,5,1.0,1.0
